sentiment,text_lemmatized
0,hoy morir carlos bremer empresario mexicano exitoso visionario ser ejemplo deber ser hacer empresario preocupado apoyar personal emprender negocio conjunto dueño mipym méxico necesitar empresario cómo explotador
0,dado cuenta último año cumpleaños dejar ser fecha emocionaro creer tanto expectativa esperar hecho perdido magia siento fecha pasar mismo
0,holar perdido ex amor vida
0,si llora haber perder sol lágrima dejar ver estrella
0,volver mandarme tweets porfavor contestar perdido cuenta
0,hacer pequeño balance vida di cuenta perdido gente amar di cuenta perder alguien amar leal desinteresadamente aprender dejar aprender día vez
0,pensar haber superar trauma bastar mencionarar nombre incluso si hablar quedar yo completamente paralizado incapacitado resto día
0,ahora hacer mes incapacitado
0,petro incapacitado gobernar país derecho deber ser remover renunciar
0,antialérgico noche quedar sigo incapacitado
0,pensar año sólo llorado madrid primero vez incapacitado hacer vida octubre acabo recordar aquel día mayo sentir mal decidir ir práctica teletrabajar acabé sentado cama llorar
0,odiar bloqueo mental sentir saturado
0,preguntenle futbol dt favor querer saber mas saturado
0,saturado mentira parecer verdad criticar libro inmenso océano sofistería artimaña retórica salpicado poco pequeño islot asoma gramo verdad boroni vargallós aplico cualquiera politico
0,ver llevar mucho ilusión juguet hij ser dosis serotonín día alch bonito olvido saturado va metro
0,jajaja wey mandé mensaje presidentar equipo batear pendejamente puse dirección whatsapp saturado mensaje director
0,onda viernes acá muerto susto intentar hacer dos hora sacar pájaro quedar atrapado atrás televisor
0,realmente atrapado
0,concepto atrapado cuerpo humano
0,ojo alto escala mohs dentro atrapado cosmos
0,ir hacer hilo lectura guadalupe reina leer libro día
0,cierto tener envolver banco musculación pésimo experiencia quedé papel mezclar dos
0,llevar dos hora empaquetar regalo
0,hoy suegro año decir hoy sentir bien gana poner yo corbato poner guapo llevar pasear semana tomar gnmx activz año usar corbata poco gana salir llegar llegar agobiado cansado
0,agobiado problema adulto mortificar
0,aprovechar quedar vacación meter cama cansado agobiado deprimido
0,cuanto abatido amado decir san bernardo
0,creer beber jarra solo xd
0,locura vivir abatido caminar medio dormido
0,dar hambre xd ptmre
0,querer renunciar solo tener liquidación xd querer irme viaje amigo
0,cantidad poema malo avergonzado expectante reservo
0,romper pantalon lado lado hijo perra madre avergonzado
0,niego sentir yo avergonzado forma amé niego sentir odio tanto comprometido quererte niego sentir yo humillado cantidad vez intentar hablar tú
0,perro poner hacer caco paso cebra detener tránsito dueño avergonzado pedir disculpa conductor
0,mejor jugador obeso años solo aguantar minuto ritmo juego avergonzado decir él presumen jajaja regat mierda hacer mejía
0,abrirte alguien poder hablar incómodo
0,disfrutar silencio incomodo
0,dar gracia chistoso incomodo irrespetuoso quisiera callarar rato
0,reencuentro tanto incómodo diosss
0,agradar persona silencio incómodo
0,triste preocupado mortificado salud rafael nadal dio quitar
0,creer círculo cercano mortificado pasar jajajajajaja
0,mortificado futuro cesar monte
0,increíble mayoría persona dar importancia embriagar él loco presumir botella alcohol simplemente sentir mortificado habreír gym noche buen navidad año nuevo
0,si mortificado nunca almir oración camino opusdei happy new year feliz año
0,puse sonrojado escribir pq
0,esperar jugada así inevitablemente acabar sonrojado poder controlar pues reír segundo golpear él fuerzo hombro creer saber mejor nadie dalio aunque regalaste paleta corazón primero
0,jihyuk sonrojado tanto lindo querer tomar captura poder malditaseaaaa
0,contado tres vez historia historiar persona futuro presente vida después contado sentí soñé desear sonrojado puesto nervioso culpado vuelto sanar
0,sonrojado
0,verdadero tímido palo
0,aún poner tímido hacer feliz weimin presuma así
0,tímido viernes
0,cu timido
0,desafío liderazgo ser fuerte grosero ser amable débil ser reflexivo perezoso ser humilde tímido ser orgulloso arrogante jim rohn empresario estadounidense autor orador motivacional padre autoayuda
0,méxico encontrar consternado confundido muerte empresario carlos bremer nadie conocer
0,soñe  escribio habia confundido conmigo queria volver ver segui soñar orián
0,varios pq sigo sintiéndome infeliz jamás confundido exequiel ahora dar tiempo amarte jajaja pajar confiar mujer
0,q confundido
0,alchile si acabé bien confundido ver niño garza
0,empezar mal coche aun descompuesto enfermo reaparecer gente deber hermano regresar eu imposible sentir yo desconcertado
0,vez desconcertado entender hacer día pasar tanto rápido vida
0,noma poquito desconcertado dijiste harías
0,chino bobo desconcertado cara cine granhermano gh
0,tenue desconcertado suspiro escapar labial intuición casi nunca fallar quizá bueno haber vivir tiempo ᅠ
0,socolovich mujico vizcaya alaniz titubeante chacín día lanzar notar
0,vez mágico vez titubeante
0,salgo veterinario espantado precio malhumorado situación general camino ceño fruncido cruzo viejecito bastón andar titubeante poner cantar seguir vivir amor sonreí camino regreso
0,volver compatibilidad hermoso suegra letiziar si bebo veces cantidad ingente últimamente reprimo bebo monarca jamás deber mostrar él débil melancólico titubeante población monarquía pender hilo
0,especialmente titubeante pagni salva papas olivera sutil corrección trabajar duro aburrido
0,jefa dejar tarea mañana limpiar parte bazar decir sari favor rompa vidrio jajajaja saber torpe
0,laa fuertaza morocho
0,torpe jajar
0,torpe segundo nombre
0,vdd si extraño torpe hermano
0,empezar mal coche aun descompuesto enfermo reaparecer gente deber hermano regresar eu imposible sentir yo desconcertado
0,vez desconcertado entender hacer día pasar tanto rápido vida
0,noma poquito desconcertado dijiste harías
0,chino bobo desconcertado cara cine granhermano gh
0,tenue desconcertado suspiro escapar labial intuición casi nunca fallar quizá bueno haber vivir tiempo ᅠ
0,gato acabar decir deni gana culear incomodo bautista granhermano
0,hola acabo ver saltburn hermanito divertido recomeir llego parte peli casi último ro decir sudar incómodo nervioso djejdndkkw
0,q incomodo ver película familia aparezca escenar sexo súper turbia cbrn
0,papá mostrar tik toks todo familia tierno incómodo jajaja
0,día casa papá hacer incómodo
0,verdadero victoria síntesi neoclásico haber él dar cuenta sistémicamente título individual autoconsciente si discutir realmente cep perder goleado
0,servir ser autoconsciente personar si dar miedo explotar él
0,aquamanandthelostkingdom cachondeo autoconsciente pulpo ganado viva humor entretenido divertido bien hecho espectáculo visual momoa dusfrutón gran química wilson viva nicole
0,pasar si capitulo what if temporada parodiar autoconsciente junglo cristal
0,abrí instar ooobviamente ir lleno persona ser feliz navidad hacer recuento año subir foto bonito pareja alegro amiguitxs instar hacer sentir autoconsciente pokito mal año año
0,terminar bien abrumar después hoy
0,sentir abrumado cantidad cosa querer dibujar ver jugar leer odio sensación xdddd
0,denmir helado ar full abrumado
0,microcuento vez motivo aparente bien razón quizás fútil venir encima uno nostalgia inmenso dejar paralizado abrumado heraldo negro hablar vallejo
0,sentir abrumado
1,ponete celoso cualquiera culiado justo nunca maaaasssss
1,mierdar tanto celoso
1,solo gusta verme celoso devuelvo venir
1,celoso mierdar
1,ar celo cómo decir celoso
1,entregar viejo salir nuevo podremos salvarnos destrucción ocurrir si arrancar dio viejo mundo matar bastardo alimento díablir cuerpo tomado escorio diablo esposo envidioso cdsm creer mujer gente
1,envidioso querer tener querer
1,cada vez aguantar menos bobo wacho envidioso
1,envidioso ke tiro mal ojo salir mil grano
1,hablar bailar kenny keni queni chupa huevir nombre envidioso orto doler demá si saber bailar stream pista bailar
1,vida mierdar gracias gracias gracias
1,cuánto dinero pagar dictador demoler monumento bukele caprichito seguir resentido reelección
1,único red social q seguir tiktok ahora subí video ver dejar seguir jssjkskssksk paraaaaa tanto resentido vas 
1,gordo dar parecer tipo asquerosamente facho odio corazón opinión dar culposa sospecho vida privado tipo limpio honesto solo resentido vida
1,desconfío gente entrenar lleno vacío firma gordo resentido
1,alar despechado lpm granhermano
1,si ridículo andar despechado bueno parte proceso
1,acabar terminar canción llamar noche perreo sacaré febrero mamar mejor canción hit seguro despechado hacer cabron
1,pa mesa moto despechado seguir
1,ver mucho frase luchonar últimamente tl algoritmo anda ardido despechado pasar tú
1,cosa m inseguro buen corazón cantar escuchar música existir cantante mlb mucho pixar mlb d marvel hijo diré aquí pendulum mucho cosa alcohol mandar pregunta
1,sentir yo inseguro
1,noviembre clonar tarjeta robar hacer descargo banco inseguro guardar dinero empresa llegar sms confirmación compra mayor reclamo proceso duro día decir
1,inseguro sentir
1,jamás t sienta inseguro doy vida voss ir haber igual vo acá mil año
1,manzana poseido música jajajajo
1,asustar sino reconocer si gestar diferente si voz varía poseído loco oír voz juzgenmar discurso desvario
1,cocinar volvi bauti habia poseido harry styles granhermano
1,hijo lucifer poseído
1,chama teoría loca padre poseído cómo explicar él simplemente sentir siento feo cómo premonición ir pasar juro puedo explicarto
1,radar velocidad evidenciar afán recaudatorio compulsivo
1,compra poder ser tanto compulsivo madre tanto codo padre
1,etapa comprador compulsivo acabar recordé menos mes dejar ser residente deber encontrar trabajo
1,cansé ser comprador compulsivo
1,hermano mentiroso compulsivo jajajajajar
1,dieguir jugar fifazo entretenerse proceder jugar fifa modo competitivo poder existir
1,ver mucho gente despreciar coquimbar unido cuidado pintar cara ojo equipo competitivo liga chileno
1,pinché riot sacar campeón cada año nama jugar competitivo váyanse alavergo piénsenle mas cabrón
1,competitivo dólar liquidar argentina mep pagar tarjeto crédito extranjero peso figurar usd dólares argentino calvario s pago si pagabar tc perdía terciir dinero ahora efectivo tema inseguridad plástico turista perder peso alivio extraordinario venir argentino bien prési milei jmilei
1,loco poder jugar ateez demasiado competitivo importar si biar igual agarrare palo
1,dolorido
1,mayor salido dolorido coche choque ferio
1,cuánto poder crecer si tan sólo volviéser ver crecer junto trigo espíritu dolorido crecer junto mar nunca dejarno amar crecer junto día ser abrazo noche abrigar
1,anoche encontrar bien sentir cansado dolorido acosté pronto idea genial vino cabeza empezar fumar pipa dar aire elegante sofisticado cierto halo intelectualidad experiencia misterio
1,corpo dolorido
1,gelp tén puto idea día poder dormir mientras vo saca fotito ahora rivotril mesa luz uno bestia
1,ir jugar corazón bueno
1,gelp claro ahora q tomar sopa propósito pregunta finaceír pagar pampa sós gully hdp sessa siiii ahh bueno quedar tranquilo baño terminaste obra favorrrrrr
1,crush infinito gusto pescado rabioso creo poder casar yo cualquiera momento
1,diar hermoso bello mar ola animalito noche mas hermoso momento juego més divertido repetir aunque susto habiar sueño diar hermoso totalidad
1,vida tomar él per so nal vivir amargado
1,si conoz pereceré amargado si llegar conocerme darás cuenta contrario
1,cómo buen abogado ir hacer cartita kelsar rey mago
1,car él mufa nunca fe ahora morimo matemoslo viejo amargado
1,cosa notado si cumplir sueño lograr él musico termina amargado s s gracias dios ilusion contento logrado esperar mas feliz decada
1,oir último muela juicio sacar pasado semana si bien dolor fuerte igual ser poquito molesto hoy disminuir harto casi sentir vez pasar saqué dos abajo nunca sentir
1,odar sentir molesto c
1,perdón deber buscar dónde buscar si comprendo molesto mas
1,ouedir ser molesto maricon dijebq hacer tarea dejar chingarme madre
1,molestar escuche miranda cus i m healing
1,sueño frustrado hacer fiesta sorpresa bien bien
1,querer patín siempre sedar regalo frustrado
1,pensar vuelto mejor forma afrontar últimamente cosa tanto frustrado bloqueo intención lidiar
1,perdonir shipp frustrado siempre ir ser rosina nico granhermano
1,sueño frustrado organizar cumpleaño sorpresa
1,cosa decir mierda persón don nadie sino simplemente permitido desarrollar yo igual demás afectado vida ahora adolescente miedo llegar ser adulto dominar
1,protocolo defi gamma strategies ver afectado hackeo permitir atacante robar eth pérdida alrededor millón dólares
1,mañana ir pasar mal mentalmente creer ir afectado querer hablar nadie interactuar nadie ir hacer ir ser difícil siento ir tener gana llorar rato
1,pensar bienestar demá olvidar siempre error siquiera ver afectado colapso
1,manflorón canturreador insoportable afectado pelotudo fernando dente
1,hoy despertar nervioso pesadilla rascandome compulsivamente codo ahora irritado pico cada dos tres
1,venir irritar mal humor jussssto subir tocar horriblemente universo paralelo ukelelir meado
1,irritado wey jale
1,salido regalo último hora tipo fachapobre irritado comprar nosequé caro faltar pila regalársela menudo alteración llevar sólo voy perfume
1,duelar corte irritado s aaaa sufro ahora mismoduele
1,molesto tener andar controlar decís mínimo ofender
1,después varios comentario agrio hate respecto costco llegado conclusión nenis deber ir chingar madre dar asco
1,parecer increíble molesto xochimilco taco cerca buen
1,melchor grax compra baltazar molesto ticket
1,párese re injusto mujer opin xq molesta enojar tratar mal solo comentario si molestar xq verdad
1,si poder contar película hacer él preguntar jafar panahi exasperado películo experiencia vivido experiencia pertenecer contemplar merece ser compartir filmar acto resistencia acto vida
1,v exasperado decir él jón piense abajo sino corazonnn ajhdsjsa v tanbonito muak
1,cerrar boco señalar dirección ruso exasperado chiste pito
1,entendido exasperado perder él repetición acierto decir verdad cósimo entonces decir biagio fino capítulo sólo restar volver él loco elbaronrampante
1,sentir solo triste aburrido feliz exasperado ansioso melancólico veo woshingo dar especie caricia corazón ver él no él porq tqm woshingo querer abrazar
1,phillip inquieto insistir volver casa brujo usual caballo logra convencer él contrario irtho irtho hablar extraño lengua tirar rienda cabalgar hacia lugar poder
1,b inquieto hoy
1,aquí ver nunca madre espiritual
1,pronto puse inquieto
1,recuerdir porqué empezar cuidar ideal
1,decir isabel ir coger jajajajajaja granhermano
1,querer cortar dos fierro justo habia visto todo rapido furioso diar sero muchacho
1,puse rápido furioso x aunque ver
1,peliculón rápido furioso
1,ahí llevar veterano rápido furioso
1,dar pereza tener ir conocer mundo conformar él nuevo maldito pregunta tratar mostrar él irascible pues idea quién padre pronto sabré valer hablar mientras
1,venir puto villarejo contaro cuatro verdad resto año dar ganar escuchar irascible perdido
1,año empezar súper irascible molestar
1,sosiego sentir hoy hablar persona tildar irascible terminar ser contrario simplemente deber aprender expresar él
1,si tanto jodidamente irascible
1,ser uno navidad horrible malo fastidiado casi plan ver cabalgata hoy junto amiga novio disfrutar niño pequeño ser mejor regalo poder tener
1,pues cabalgatar granado año parecido sós simple menos vistoso años sólo lluvia fastidiado carroza decaído comparándola anterior
1,lapromesir maldito fusilador fastidiado decir marqués metomentodo fún
1,terminé silenciar fastidiado pedir perdón
1,fastidiado epstein salir triple hpta nombre nuevo todo conspiración q inventar
1,hola acabo ver saltburn hermanito divertido recomeir llego parte peli casi último ro decir sudar incómodo nervioso djejdndkkw
1,mañana viajo lejos solo primero vez demasiado nervioso preocupado
1,puse nervioso ayuda
1,único hacer scoot subir balón pasar él compañero nunca penetrar jugar pasar ahí entender poner nervioso blazersargento
1,momento noche reyes pasar ser super especial irme dormir super ilusionado tener quedar yo empaquetado regalo terminar manualidad nervioso si gustar regalo contar banco querer volver ser niño
1,regalo abrir hora pq impaciente ganar nadie
1,impaciente primero vez esperar
1,orinson amaya salir tirando él afición alguien dígale q razón q afición impaciente pq corrio royon gorgar condición igual defensa sumenle q correr dt gente molestar pq gestión deportivo mierd fin
1,seguir ser noche escuchar paso madrugada ascensor golpeado puerta cerrar despacio casi imperceptible momento ojalá tanto buen mayoría esperar impaciente dia restante año bisiesto
1,ja to impaciente jo
1,petrogustavir mezquindad hacer quitar juego petro hacer indignado pedir recuperar juego recuperamos juegos petro atribuir recuperación juegos comunismo romper pierna dar muleta pedir dar gracia
1,viejo decir re indignado ir viejo quiera grupo furio jdkdjdkjd enojabaaa
1,aaaaa hermano poder creer broncaaaaa tar indignado
1,christiar castillo indignado furioso cárcel balo ideologío matar millón ser humano lugar planeta mejor país mundo
1,alex ver tikto decir juan carlos emputado indignado vaya
1,quejar él ustaša hacer ver buen nazi encima hablar si serbio comunista pancito dio solo predicar ortodoxia puto cipayo yankee cogido totalmente hollywood
1,totalmente enojado playstation dejar comprarme fc
1,hermoso rir olvidado totalmente amar luis sera did nothing wrong
1,culia gustar decir cosa enojado
1,tanto altanero enojado así rupelto mena grupo niche
1,nono cantidad historia subí hoy jajajajajajaja re pesado
1,mismo pan muerto poder dejar él estúpido experimento seguir vender pan siempre computadora cambiar procesador coche ser eléctrico pan exasperante
1,ir morir angustia breve joda
1,alguien saber porqué páginar movistar arena decir podés sacar entrada dejar sacar
1,seguir decir hora
1,síndrome colon irritable viadil durmar mejor
1,hijo andar regresión sueño mes día ser súper difícil acostumbrado comporte así dar penita andir tanto irritable despertar llorar siesta consolar buen rato corazoncito
1,navidad descubierto problema colon irritable sobretodo carne embutida fuck bitch ir seguir jartándome jamón aunque cagar
1,ahora creer valdebenitir razón casi decir fandom avello amigo eri igual funable cerdo ceboso seguidora tanto irritable cerdo ceboso
1,dio sensible irritable ar últimamente poder decir él llorar
1,buen día especialista pasión decir amor eterno si contrariar pasión lucha albert camus
1,especialista pasión decir amor eterno si contrariar pasión lucho
1,ayuntamiento madrid repruebo ortega smith agresión rubiño voto izquierdo pp concejal vox visiblemente contrariado alcalde acusar edil madrid protagonizar único agresión luego marchar cibel esperar resultado voto almeido llamar cobarde ortega smith breve intervención utmcampaignbotonerashare utmmediumsocial utmsourcetwitter via somosmadrid
1,ese licey crecer duele ese uniforme bonifacio poner corazón licey postemporado león eqcogido deber abrir to lanzador contrariado después recibir enorme hr jlmendozar jmena
1,contrariado dar él tweet alejandro gaviria criticar reforma salud saber creer ser parte explosión controlado
1,sueño frustrado hacer fiesta sorpresa bien bien
1,querer patín siempre sedar regalo frustrado
1,pensar vuelto mejor forma afrontar últimamente cosa tanto frustrado bloqueo intención lidiar
1,perdonir shipp frustrado siempre ir ser rosina nico granhermano
1,sueño frustrado organizar cumpleaño sorpresa
1,presidente estrategia político personal conducir partido nacional coalición derroto acción abrir camino yamandú orsi presidencia estrategio nadie ignorar desalentado posible buen precandidato presidencial blanco colorado decidar competir acumulación voto lema coalición bloqueado nacional ir llevar cabo departamental vez coalición perder volver fortalecer él triunfo departamental prepare eventualmente terreno presidente volver elegir él idea perder mantener relativamente alto popularidad presidente inauguración paseo moto diverso etcétera estrategia solamente políticamente desleal sino ir hacer partido nacional volver ser gobierno muchísimos año uruguay
1,llenar vacío cuerpo desalentado dejar cuerpo miguelhernández
1,ah gente arco shibuya desalentado seguir jujutsu decir bien hacer después bastante mierdero
1,efímero horizonte cotidiano utopía pensar desalentado conductor acelerar carreterar
1,poder ser desalentar ridículo carismático agraciado jama
1,terminar bien abrumar después hoy
1,sentir abrumado cantidad cosa querer dibujar ver jugar leer odio sensación xdddd
1,denmir helado ar full abrumado
1,microcuento vez motivo aparente bien razón quizás fútil venir encima uno nostalgia inmenso dejar paralizado abrumado heraldo negro hablar vallejo
1,sentir abrumado
1,odar sentir molesto c
1,perdón deber buscar dónde buscar si comprendo molesto mas
1,ouedir ser molesto maricon dijebq hacer tarea dejar chingarme madre
1,molestar escuche miranda cus i m healing
1,yo deber ser molesto
1,ir ver warriors todo ilusión terminare desilusionado
1,desilusionado
1,verdad desilusionado ver salido
1,volver confiar persona después humillado tanto año decepcionado desilusionado dejar familia jodo
1,decir tú así dueño propio negocio legalmente inscripto desilusionado siempre pensar altura ir ser capomafia ar arreglar máquina
1,poder decir verdadero placer arrinconarte pared besarte mientras ir desnudándotar mano temblorosa sentir cuerpo agitado rozar olvídalo vulgar parte
1,parpadeo tranquilo exterior falso contradice agitado interior dorado buscar brenda tan solo ver reacción único general conocer mano quedar elegir si necesario poner él defensivo luego buscar noelle
1,solo hablé historia sopesado solo hablar ola mar agitado solo hablar joya ojo iluminado
1,gente cansado agotado agitado estresado malo gusta llegar departamento solo fumar tabaco dormir
1,día agitado político córdobar recién llego recién agarro celu todavía seguir enojado tuit anoche jijiji cosa pasar desesperar venir tiempo buen buenviern
1,night personaje tanto incomprendido
1,déjamir dormir tranquilo dio
1,extraño carajo volver cr favor
1,pobre luke loco nadie entender solo anarquista incomprendido
1,cosa plebeyos sucesión patrilineal patriarca estirpe llevar ardua brega costa volgo decir prima justo ml nunca interesar familia rey incomprendido
1,decir isabel ir coger jajajajajaja granhermano
1,querer cortar dos fierro justo habia visto todo rapido furioso diar sero muchacho
1,puse rápido furioso x aunque ver
1,peliculón rápido furioso
1,ahí llevar veterano rápido furioso
1,novio impotente
1,impotente
1,impotente siento ahorito
1,si enoja mostrar papado deber descontrolar acerquen lapicero anular constitución gatito impotente
1,señorar dañar alguien red solo gusto sexual poner tanto impotente ganar cuanto ganar dañar alguien
1,buen día especialista pasión decir amor eterno si contrariar pasión lucha albert camus
1,especialista pasión decir amor eterno si contrariar pasión lucho
1,ayuntamiento madrid repruebo ortega smith agresión rubiño voto izquierdo pp concejal vox visiblemente contrariado alcalde acusar edil madrid protagonizar único agresión luego marchar cibel esperar resultado voto almeido llamar cobarde ortega smith breve intervención utmcampaignbotonerashare utmmediumsocial utmsourcetwitter via somosmadrid
1,ese licey crecer duele ese uniforme bonifacio poner corazón licey postemporado león eqcogido deber abrir to lanzador contrariado después recibir enorme hr jlmendozar jmena
1,contrariado dar él tweet alejandro gaviria criticar reforma salud saber creer ser parte explosión controlado
1,amar pinche celular harto alch cambio harta fallar servir puto pantalla
1,si ir llover refresque sino lluevaaaaaa
1,hartar tocar eliminar él lado
1,jajajajajjajar mamá hartar ropa aventado silla nivel doblar
1,tanto cansado tanto harto tanto
1,si enfadado yo intentar arreglar él yo
1,titar enfadado pprque hecho cama creer criado
1,nunca visto así enfadado molesto totalmente así si querer prender fuego mundo haber yo hacer daño
1,parez stripper quejar tanto poco efusividad seguir enfadado drogar él querer xiao aquí retirar capucha sudadera mirar él asiento ofrecer él copa mirado
1,pensar enfadado yo
1,distante tudo
1,si cada vez mas distante
1,entender dejar ver entender vuelve tanto distante noche mañana hablar
1,pq tanto distante wuieo matat
1,parecer distante
1,cuál mayor sueño vido decir ayy querer lograrhacer morir aunque vean lejano incluso improbable imposible
1,crepúsculo lejano dos extremo tablatiburón líder pájaro rojo distante favoritismo líder ronda eliminatoriael borrón contar nuevo round robin serio derrota guara buen presagio restar resto
1,felicidad viaje lejano mano mano felicidad mirada inocente gente
1,tomar vino lugar lejano recordar precio hablen decir crjo
1,porq quedo muuudaaao prendido miradaao porq lejano porq nadaao
1,gracias vida haber yo alejar gente tanto venenós infeliz
1,dar gracias vida haber alejar persona aportar sumar bueno
1,dio quiero alejado lío
1,tú notar pq odio cegado día chino re alejar imperio mejorar bastante cada día fé granhermano
1,agradecido haber yo alejar semejante asquerosidad
1,m dar bronca haberme distanciado amigo poner novio insoportable encima q conocer gracia
1,creer deber hacer pase aquel pleito tonto distanciado solo bueno palabra probablemente ofendar maas ofender momento saber decir
1,vez pensar ser si distanciado
1,triste distanciado
1,hacer año viejo junto hermano mismo mamá papá nieto bisnieta juro deseo vida menos crio lindo familia re númerós re unido ninguno distanciado
1,desconectado mejor
1,alguien desconectado pasar mundo
1,dormido suén alarma casa hermano preguntar abrir alguno ventana puerta evidentemente nadie acto seguido dispositivo decir altavoz allá lejos desconectado corriente sólo pensar valí vergo am
1,hs desconectar hacer re bien
1,holar feos d mierd tqm vacación ar desconectar entré solo leer aus
1,ir hacer apartado dinero exclusivo armar equipo audio alto fidelidad
1,movistar arena recién acordar poner apartado poder crear cuenta mientras esperaba fila creandolo comprar desastre
1,art corte general mediante ley orgánico poder motivo interés nacional c sustituir iniciativo corporación local referir apartado artículo
1,pinche sistema vergaaaa personal tiendasoriana orgsorián posible sistema poder hacer apartado pinche roscar
1,papás discutir buscar tener cuidado apartado hermano año si pensar crecer deber cuidar cosa hoy discutir nuevo siento raro valor salir casa solo huir
1,retirado resucité
1,béisbol dominicano beltré encabezar lista posible nuevo inmortal mlb retirado tercero base llegar primero oportunidad boleta electoral cooperstown serio posibilidad ingresar
1,informamos retirado vehículo pista derecho oriente sector gran avenida común cisterno pista habilitado vespuciosur biobio radiocarab ttisantiago mopchile moprm
1,dar cp retirado peor estafado
1,vehículo retirado ruta norte km sector salesiano todo pista habilitado avance precaución víaschile
1,prejuicio cargo confundir pasado amenaza futuro hacer inaccesible presente unidostodosx dezurdateam dezurdateam franklportal marianacuba manolorgomez gabyisla pedritorojo katibaez avelazquezdiaz almaguerlemus cecics betzabeglezp
1,gente vélez siempre bastante vago llevar año fanatizandose cada vez cd anterior hacer fomentar él entender convenir mil nuevo querer hacer socio pagar tener plateo cara inaccesible simple estrategia
1,creado espacio independiente vida territorio inaccesible purezar ahí verborrear elegante amar
1,si venir alexi vego chingar madre record decir sueldo vega inaccesible toluca rigonato iar ambríz ganar sueldo muuuuy similar propio vega ser juvenil ganar prima millons pesos diario culero recordmexico
1,amor perfecto existir sólo idea poder ser basar recuerdo inaccesible torno extraño nostálgico mucho vez tortuoso
1,mañana terminare zeldar verdad juego encantar hacer disfrutar juego solitario gustar tener él pronto empezar clase además mucho cosa pensar hacer ahora sentir vacío pensar escuchar todo
1,teatro silencioso existencia lágrima ensair danza mientras telón alma alza solitario acto poeta errante
1,tanto i dependiente i lono solitario
1,peter hacer lobo solitario
1,viernes poner jugar solitario venir nochon
1,confiar dentista hacer resinasrestauración aislado absolutooo
1,acabar dar cuenta tanto ocupado verdad aislado solo subido foto instar año
1,decidir hablar profundidad porq necesitar sacar él sistema maldición desaparecer tratar day perder visto si hacer sentir noticia day desaparecer aislado mundo lasttwilightseriesep
1,eliane erin trist caso aislado
1,plan verdad ser navidad aislado sufrir si existir ansiedad borrado memoria ayer puente diciembre acabar clase
